ecv_year,pov_line
2008,8379.4
2009,8876.8
2010,8763.1
2011,8357.7
2012,8320.7
2013,8114.2
2014,7961.3
2015,8010.9
2016,8208.5
2017,8522.0
2018,8870.9
2019,9009.2
2020,9626.0
2021,9535.2
2022,10088.1
2023,10989.5
